Ranking,Prefecture,Population,Urban population,Rural population 
1,Donetsk Oblast[5],4387702,3973317,414385
2,Dnipropetrovsk Oblast[6],3258705,2724872,533833
3,Kyiv (Municipality)[7],2900920,2900920,-N/A- 
4,Kharkiv Oblast[8],2720342,2193027,527315
5,Lviv Oblast[9],2535476,1545628,989848
6,Odessa Oblast[10],2387282,1592602,794680
7,Luhansk Oblast[5],2263676,1963808,299868
8,Crimea (Autonomous Republic)[5],1963770,1231648,732122
9,Zaporizhzhia Oblast[11],1755663,1355126,400537
10,Kyiv Oblast[12],1731673,1077600,654073
11,Vinnytsia Oblast[13],1604270,813906,790364
12,Poltava Oblast[14],1440684,892177,548507
13,Ivano-Frankivsk Oblast[15],1382721,603858,778863
14,Khmelnytskyi Oblast[16],1296103,729963,566140
15,Zakarpattia Oblast[17],1259497,466985,792512
16,Zhytomyr Oblast[18],1249225,734462,514763
17,Cherkasy Oblast[19],1246166,707539,538627
18,Rivne Oblast[20],1162049,553247,608802
19,Mykolaiv Oblast[21],1159634,791227,368407
20,Sumy Oblast[18],1115051,764436,350615
21,Ternopil Oblast[22],1066523,475443,591080
22,Kherson Oblast[23],1063803,651241,412562
23,Chernihiv Oblast[24],1047023,676001,371022
24,Volyn Oblast[25],1042855,545568,497287
25,Kirovohrad Oblast[26],974724,612237,362487
26,Chernivtsi Oblast[27],910001,391491,518510
27,Sevastopol (Municipality),509992,509992,-N/A- 
